10023.xml	p495	p2819	1525	t1,t5	<s n="99">Grütz mir hernn schultheis <persName ref="p6336" sent="to">Ruͤplin</persName>, <persName ref="p6338" sent="to">Sigmunden</persName>, <persName ref="p5906" sent="to">Mörickovernn</persName>, den praedicanten und ander bruͤder in Christo, und «die gnad gottes sy mitt dir».</s>
404.xml	p8055	p495	1549	t10,t11	<s n="33">Es gruͤtzt euch alle menschen.</s>
4080.xml	p6	p495	1559	t5	<s n="7">Ich hab euch geschyck by <persName ref="p1227" sent="from">Froschouer</persName> 2 hallandysch keiß; ich bytt euch, nem sie fur gut und grüß mir alle gutte frundt.</s>
414.xml	p4055	p495	1549	t2	<s n="4">Ich hab üwere grüß ußgricht, unnd lassen dieselbigen üch hinwiderum früntlich grüssenn unnd danncken.</s>
4228.xml	p8354	p495	1560	t11	<s n="15">Griesst mir all lieb herrn unnd brueder zum hochsten unnd von hertzen.</s>
4234.xml	p8432	p495	1560	t3,t10	<s n="17">Er aber, min son, glichwoll ouch min hußfrow und die minen all londt euch und euwer daß gantz hußgsindt vast grüssen.</s>
4234.xml	p8432	p495	1560	t3,t10	<s n="19">Wellt mir all guͦtt herren und fründt grüssen, sonderlich aber euweri ersame hußfrow, sön und töchteren sampt döchtermennern, und wer unß woll will.</s>
4234.xml	p8432	p495	1560	t3,t10	<s n="20">So bitten ich euch ouch, welt min beid brüderen <persName sent="to">Hectorn</persName> und <persName ref="p7129" sent="to">Josue</persName> irem schuͦlmeistern in trüwen bevelhen und dem schuͦlmeister ouch, so eß sich begibt, min fruntlichen gruͦß und dienst anzeigen.</s>
4256.xml	p8055	p495	1560	t2	<s n="5">Grutzt euwer christlich husgmeind mitt allen guͦten frunden.</s>
4287.xml	p495	p8018	1560	t6,t10	<s n="4">Gleichs wirt auch den vögten auf dem land anzeigt mit erst, ob villeicht, davor gott seye, was sich wider ein eidgnoschaft erhuͦbe/erhuͤbe, daß man ouch in yl grüst were.</s>
429.xml	p8018	p495	1549	t3,t5	<s n="56">Uff diß mal weiß ich nitt wyters, dann üch, üwer husfrawen und kind gott trülich zuͦ befelhen; die wellind von mir und miner husfrawen trülich gruͤßen mittsampt <persName ref="p8417" sent="to">Musculo</persName> und sinem hus, dem ich diser zyt nitt wellen schriben, sonder üch laßen sin evangelisten sin, bis das es alles verhandlet wirt.</s>
4312.xml	p66	p495	1560	t1,t2	<s n="11">Thuͦn hiemit euch dem allmechtigen bevelhenn, unnd grussen mir mein liebe schwöster und euwer volckh.</s>
4312.xml	p66	p495	1560	t1,t2	<s n="12">Mein husfrauw und kinder lassen euch alle fruntlich grutzenn.</s>
4395.xml	p495	p8016	1560	t10	<s n="13">Sagend minem günstigen herren landtvogt minen willigen dienst und früntlichen gruͦß, und das ich brieff empfangen habe verganges frytags uß Engelland, deren datum zu Lunden des 22. iulij, darinn begriffen, das es in allen dry königrychen, England, Irrland und Schottland, fast wol stande der eligion halben und das die träffenlich zuͦnäme, das ouch der schwerr krieg zwüschen Franckrych und denen 3 königrychen vertragen und gericht sye.</s>
444.xml	p8055	p495	1549	t10,t11	<s n="23">Die fromm frauw <persName ref="p6555" sent="from">Sabina Schönerin</persName> bitt mich in irem schreiben, ich welle euch von iren wegen gantz fruntlich und christelich gruͤtzen, mitt erpietung irer truw und lieb.</s>
4502.xml	p8018	p495	1560	t10	<s n="6">Die hand iren ußzug auch bi handen, und ist alles grüst.</s>
4579.xml	p8018	p495	1560	t2,t10	<s n="18">Der dancket und grüßt üch; er ist willens gsin, üch selb zuͦ schriben; aber ich acht, er sige durch vile der gschäfften verhinderet, dann er über andere hütt verritten gen Basel.</s>
4579.xml	p8018	p495	1560	t2,t10	<s n="21">Es grüßend üch min herren gmeinlich all, besonders <persName ref="p8012" sent="to">Haller</persName>, <persName ref="p8389" sent="to">Hag</persName>, <persName sent="to">Vischer</persName>.</s>
463.xml	p8055	p495	1549	t2,t10	<s n="8">Min lieber bruͦder und schwester, ouch husfrow, empieten euch alles liebs, vyl gruͤtz und guͦts.</s>
463.xml	p8055	p495	1549	t2,t10	<s n="10">Gruͤtzt all guͦt herren und fründ.</s>
4641.xml	p495	p8009	1561	t11	<s n="34">Kumpt j. <persName>Friderych</persName> gen Chur, grüssend mir inn, entschuldigend mich das ich nit schrib.</s>
4778.xml	p495	p8055	1561	t6,t10	<s n="41">Grüssend mir herrn <persName>Mathiam</persName>, beide mine herren schultheyssen und guͦt herren und fründ.</s>
484.xml	p8018	p495	1549	t2,t5	<s n="23">Der herr sye üwer schirm und huͦt; dem sind mittsampt üwerem lieben husvölkli trülich befolhen; die gruͤtzend alle trülich von miner husfrawen, min und miner kinden wegen.</s>
4931.xml	p1568	p495	1561	t6,t10	<s n="3">Dan kurtzlich hat mir mein lieber her <persName ref="p7804" sent="from">Joerg von Stetten</persName> vil grus und guts von euch anzaigt, auch mir von eurtwegen verert eur teusch biechlin contra ubiquitatem, das ich mich hochsten bedanck.</s>
4931.xml	p1568	p495	1561	t6,t10	<s n="13">Lieber her, ich hab kurttzlich vernomen, wie her <persName ref="p2336" sent="to">Bernhardinus Ochinus</persName> bei euch zu Zurich haus; ich bit, ir wolt mir in fraintlich griesen.</s>
4988.xml	p8018	p495	1561	t6	<s n="23">Grüßend mir min herren gmeinlich sampt den üweren allen.</s>
506.xml	p8055	p495	1549	t5,t11	<s n="34">Myn lieber schwager <persName ref="p8500" sent="from">Peter Schär</persName> ist ettlich tag hie gewesen; der empeut euch sein gantz guͦtwillig, christelich dienst mitt vyl vyl gruͦtz und allem guͦtem, begert ewers getruwen fuͤrpitts.</s>
506.xml	p8055	p495	1549	t5,t11	<s n="71">Min hertzliebe schwöster, bruͦder, husfrouw empietend euch vyl vyl dienst, guͦtz und gruͦtz, ouch ewer christlichen husfrowen und allem gesind.</s>
5095.xml	p495	p8055	1561	t5,t10	<s n="21">Grüssend mir min schwager herr schuldheiß.</s>
519.xml	p8018	p495	1549	t9,t11	<s n="14">Gott sye mitt üch und den üweren allen; die gruͤßend von mir und allem minem volk.</s>
519.xml	p8018	p495	1549	t9,t11	<s n="15">Üch gruͤßt wider her fenner <persName ref="p8389" sent="from">im Hag</persName>.</s>
5251.xml	p5454	p495	1562	t2,t4,t6	<s n="16">Unnd bitt euch, wellend von minen wegen dieselben eweren mittarbeitern unnd sunst annderen gelerten unnd bekannten herren unnd fründ minen früntlichen grus unnd dienst anzaigen, die ich hiemitt der gnad gottes befelhen.</s>
5275.xml	p8055	p495	1562	t5,t11	<s n="7">Ich hab ime euwer letst büchle wider den <persName ref="p458">Brentzen</persName> geschickt; schribt er mir, er habs sinem schwager, dem <persName ref="p8367" sent="to">von Graufeneck</persName>, ouch ze lesen geschickt; schribt mir, sölle euch von sinen wegen vyl dienst, ouch alles liebs, guͦtz und gruͦtz zuͦschriben.</s>
5299.xml	p2474	p495	1562	t5,t9	<s n="11">Grußet mir euwere liebe hausfrawe, alle euwere kindt, sun, dachteren und dachtermannen und alle andere gutte herren und freundt und all Zurych.</s>
5300.xml	p8018	p495	1562	t10,t11	<s n="24">Es grüßend üch all guͦt herren und fründ.</s>
5333.xml	p8018	p495	1562	t2	<s n="6">Selichs hab ich üch uff üwer ernstlich ansuͦchen wellen berichten, damitt irs dem herren panerherren anzeigen mögind; den wellind mir hiemitt früntlich grüßen.</s>
5333.xml	p8018	p495	1562	t2	<s n="10">Es grüßend üch all guͦt herren und fründ.</s>
5333.xml	p8018	p495	1562	t2	<s n="11">Min her schultheß <persName ref="p8063">Steiger</persName>, seckelmeister <persName ref="p8012">Haller</persName> und <persName ref="p7511">Grafenriett</persName>, venner <persName ref="p8389">imm Hag</persName>, her <persName>Pfister</persName> und andere.</s>
5333.xml	p8018	p495	1562	t2	<s n="12">Gruͤßend mir auch min herren gmeinlich.</s>
5348.xml	p8009	p495	1562	t10	<s n="24">Der, so hye durch geritten von Trient, ist von dem <persName sent="from">Melchior Lussi</persName> geschickt, hat glych in der herberg dem obersten, id est <persName ref="p8093" sent="to">Herculi a Salicibus</persName>, nachgefraget, der sich nitt im nach notturfft ersprachet; dan der <persName sent="from">Melchior Lussi</persName> im ein gruͦtz zuͦbotten.</s>
538.xml	p8018	p495	1549	t2,t5	<s n="19">Er laßt üch fast gruͤßen.</s>
538.xml	p8018	p495	1549	t2,t5	<s n="23">Es gruͤßt üch alle min husgsind und <persName ref="p8417" sent="from">Musculus</persName>, dem es über die maß übel gfalt.</s>
5444.xml	p495	p8009	1562	t10	<s n="9">Grüssend mir unsere fründ.</s>
557.xml	p8055	p495	1549	t10,t11	<s n="6">Schribt mir min schwager von Esslingen, ouch min lieber schwager <persName ref="p8500" sent="from">Peter Schär</persName>; der hat mir warlich uff necht under anderm geschriben, euch sinen gantz fruntlichen gruͦtz und guͦtwillig dienst ze empieten mitt hertzlichem beger, ir wellind gott getrulich fuͤr in bitten etc.</s>
5603.xml	p8055	p495	1563	t5,t10	<s n="9">Lebe wohl; bete für mich mit den Deinen und grüße sie.</s>
567.xml	p8018	p495	1549	t3	<s n="40">Gott mitt üch und den üweren allen; die gruͤßend von miner hußfrawen und minentwegen zum früntlichesten.</s>
5728.xml	p495	p252	1563	t10	<s n="12">Grußsend mir guͦt herren und fründ.</s>
6018.xml	p8071	p495	1564	t10	<s n="9">Mit grus husmuter und alle.</s>
6032.xml	p8018	p495	1564	t10	<s n="19">Dises hatt er mir befolhen üch zuͦschryben; sonst wüße er diser zyt nüt besonders; laßt üch hiemitt auch fast gruͤßen.</s>
6037.xml	p8055	p495	1564	t5	<s n="25">Gruͤtzt die euwern all von unser aller wegen und bittend fuͤr uns.</s>
6069.xml	p495	p8009	1564	t10,t11	<s n="21">Gruͤssend mir sy trüwlich, und gott mitt üch und den üwern allen.</s>
6156.xml	p495	p8009	1564	t2,t10	<s n="15">Saluta legatum regium, consules, fratres et <persName sent="to">Saliceos</persName>, <persName ref="p8093" sent="to">Herculem</persName> imprimis et <persName ref="p8432" sent="to">Friderychum</persName>; vermanend sy, das sy sich vor den Hispaniern huͦtind, die uns nie guͦts gethan und zuͦ besorgen noch nitt thuͦn werdent.</s>
6162.xml	p1789	p495	1564	t2,t10	<s n="7">Üch sampt mir last grüisen min son.</s>
6162.xml	p1789	p495	1564	t2,t10	<s n="8">Wellend unß och die herren und bruͦder fruntlichen grüisen.</s>
6162.xml	p1789	p495	1564	t2,t10	<s n="9">Üweren gruͦß wellend wir by den herren bruͦderen trülich ußrichtenn.</s>
6195.xml	p8018	p495	1564	t10	<s n="40">Gruͤßend mir min herren beed burgermeister, auch üwer hußfraw und volk alles sampt allen lieben herren und bruͤderen.</s>
6195.xml	p8018	p495	1564	t10	<s n="41">Üch gruͤßend vast her schultheß <persName ref="p8063" sent="from">Steiger</persName>, junker <persName ref="p3494" sent="from">Niclaus von Dießbach</persName>, her seckelmeister <persName ref="p7511" sent="from">von Grafenriett</persName>, her von <persName ref="p3659" sent="from">Mülinen</persName>; der ist vorgester heimkon, dann er und her <persName>Manuel</persName> habend, nach dem si von Baden kon, die gmeinden imm Ergöw vor inen uffher gehalten.</s>
6195.xml	p8018	p495	1564	t10	<s n="43">Min schwäher auch und üwere schwäger, die <persName>Zähender</persName>, laßend üch vast gruͤßen.</s>
6195.xml	p8018	p495	1564	t10	<s n="45">Fraw <persName>Frischingin</persName> sampt iren sünen und töchteren läpt wol und lat üch auch vast gruͤßen.</s>
6260.xml	p527	p495	1564	t1,t8	<s n="13">Gruͤtz myr das volck.</s>
627.xml	p8055	p495	1549	t7,t10	<s n="26">Gruͤtzt ewer huss und all bruͤder und frund.</s>
627.xml	p8055	p495	1549	t7,t10	<s n="30">Gruͤtzt mir inn mitt erpietung aller truw und lieb</s>
6320.xml	p8009	p495	1564	t10	<s n="10">Doch so begärt er yetz khein pundtstag; diß thüye er allein, die gemeinden ze grützen und des geneigten willens synes künigs ze berichten; mittler zyt wölle er wyter handlen etc.</s>
6347.xml	p495	p477	1565	t2	<s n="7">Sömlichs hab ich dich wüssen lassen, das du min günstigen saltzherren deß berichtist und mir inn trüwlich gruͤssist und dankist siner guͦten geselschafft.</s>
6348.xml	p495	p477	1565	t2	<s n="10">All unser volck gruͤst dich etc.</s>
6416.xml	p495	p252	1565	t10	<s n="20">Gruͤssend mir guͦt herren und fründ.</s>
645.xml	p8018	p495	1549	t3	<s n="57">Min husfraw, deßglich <persName ref="p8417" sent="from">Musculus</persName> und sine laßend üch und die üwer mittsampt allem üwerem husgsind fast gruͤsen.</s>
645.xml	p8018	p495	1549	t3	<s n="58">Gruͤßend uns alle bruͤder.</s>
6451.xml	p495	p8009	1565	t2,t10	<s n="30">Bitten, ir wöllind das <persName>Arnolden</persName> anzeigen und inn früntlich gruͤssen.</s>
6659.xml	p495	p8018	1566	t4,t5	<s n="19">Gruͤssent sy uns trüwlich; doch schript <persName ref="p8033" sent="from">Beze</persName> auch in unserem namen <persName ref="p8011" sent="from">Gvaltherus</persName>.</s>
6659.xml	p495	p8018	1566	t4,t5	<s n="23">Gruͤtzend unß allen trüwlich all uwere und unsere bruͤder und mittdiener by üch und beratschlagent diß alles mitt inen.</s>
6685.xml	p495	p8018	1566	t4,t6	<s n="25">Gruͤzend mir trülich herrn <persName ref="p8063" sent="to">Steigern</persName>, herrn stattschryber, die herren seckelmeister, juncker <persName sent="to">Niclausen</persName>, mine <persName ref="p4060" sent="to">Zähender</persName>, alle lieben herren und guͦten bruͤder und üwer huß.</s>
6685.xml	p495	p8018	1566	t4,t6	<s n="26">Über das alles bitten ich üch um gotts willen und umb unser liebe und fründschafft willen, wellend one verzug und uffs volkomnist und eigentlichest das alles zuͦschryben unserem herren und bruͦder <persName ref="p8033" sent="to">Beza</persName> und in trüwlich gruͤßen.</s>
6694.xml	p495	p477	1566	t1	<s n="10">All unser volck grußt dich.</s>
6727.xml	p495	p477	1566	t1,t9	<s n="11">Gruuͤß mir <persName ref="p20082" sent="to">Susannam</persName>, <persName ref="p5612" sent="to">Elsbethili</persName>, <persName sent="to">Regili</persName> ouch von uns allen.</s>
6752.xml	p8178	p495	1566	t1,t2	<s n="15">Meine hausfrau und kinder grußen wieder und wünschen euch alles gute von gott, wie ihr auch euerem schwager und den andern angehörigen von mir und den meinen ausrichten möget.</s>
6837.xml	p495	p8060	1566	t5	<s n="17">Min gnädiger her burgermeister hat mir befolhen, üweren churfürstlichen gnaden sinen gruͦß und willige dienst anzuͦzeigen und zuͦ dancken umb alle die gnad und guͦts, so von üweren churfürstlichen gnaden imm zuͦ Augspurg bewisen.</s>
6920.xml	p8018	p495	1566	t5,t10	<s n="28">Dancket üch hiemitt beeden üwers gruͦßes und gruuͤßt üch hinwider.</s>
6920.xml	p8018	p495	1566	t5,t10	<s n="30">Gruuͤßend mir min herren gmeinlich.</s>
6945.xml	p495	p477	1566	t1,t9	<s n="13">Gruuͤß uns <persName ref="p20082" sent="to">Susannan</persName> und <persName ref="p5612" sent="to">Elßbethili</persName>, die dienst, Bryda, schwäger und din schweger vogt zuͦ Rinow.</s>
6945.xml	p495	p477	1566	t1,t9	<s n="14">Es grußt üch all unser volck.</s>
6951.xml		p495	1566	t3,t5	<s n="19">Ir wellennd unnßeren fründtlichen gruͦtz sagen allen üwern mittarbaittern im herrn, unßeren fürgeliebten herren unnd bruͦdern.</s>
6975.xml	p495	p477	1567	t1	<s n="16">Gruͤß mir <persName sent="to">Lysenbethli</persName>, min liebe <persName ref="p20082" sent="to">Susanna</persName> etc. totam domum.</s>
7006.xml	p8018	p495	1567	t9,t10	<s n="40">Er laßt üch vast gruͤßen, deßglichen ander min herren gmeinlich, auch junker <persName ref="p4060" sent="from">Ludwig Zehender</persName>, min schweher, muͦter, hußfraw, <persName ref="p8417" sent="from">Musculus</persName> et alii.</s>
7014.xml	p8018	p495	1567	t10	<s n="18">Den abdruck des keiserlichen mandats und der absagbriefen wil ich üch nehermalen wider schicken; ich hab es noch nieman zeigen können dann dem herren <persName ref="p3494" sent="from">von Dießbach</persName>; der ist jetz statthalter absente <persName ref="p8063">Steigero</persName> et reliquis und laßt üch vast gruͤßen.</s>
702.xml	p8505	p495	1549	t4,t6	<s n="11">Gruest mir all guethertzig freunt, sunderlich des <persName>Zwingli</persName> tochterman, alls ainen unbekhanten.</s>
7125.xml	p2923	p495	1567	t10,t11	<s n="6">Sider hab ich einen brief an ine gehorrig empfangen, haben ir die guteter zu gestelt, mit bit ime solchen lassen uberantworten, ime auch mein freuntlicher grues antzaigen.</s>
7147.xml	p252	p495	1567	t10	<s n="32">Ich bitten üch, ir wellend mir all min herren gruͦtzen sampt üwerm sun zuͦ Berg und sin husfrowen.</s>
7163.xml	p495	p477	1567	t1	<s n="6">Gruͤß mir <persName ref="p20082" sent="to">Susanna</persName>, <persName ref="p5612" sent="to">Elsbethli</persName> etc.</s>
7163.xml	p495	p477	1567	t1	<s n="7">All min volck gruͤst dich.</s>
7192.xml	p2923	p495	1567	t5,t11	<s n="26">Wollet mir ine gantz freuntlich grussen.</s>
7192.xml	p2923	p495	1567	t5,t11	<s n="28">Eur vetter <persName ref="p1516" sent="from">Hainrich Hedinger</persName> ist wol auf unnd lest euch vleissige gruessen, desgleichen wollet auch von mir gegrusst, unnd mich eurm gebeth lassen befollen sein.</s>
7251.xml	p8016	p495	1567	t10,t11	<s n="16">Als ich dises hievor geendet und dise nüw zytung dem herren houptman <persName ref="p1770" sent="to">Carli</persName> mitteilt, inn ouch in üwerem namen früntlich grust, da kompt er morndess zwo stund vor tag zuͦ mir ins hus, mir herwiderum ettwas, üch zuͦzschriben, anzezeigen.</s>
7275.xml	p495	p8016	1567	t5,t10	<s n="21">Gruͤssend mir flyssig die 3 herren burgermeister, den herren <persName ref="p20473" sent="to">Ganthnerum</persName>, herren <persName ref="p6130" sent="to">Pontisellam</persName> und andere herren und fründ.</s>
7277.xml	p495	p8016	1567	t10,t11	<s n="19">Gruͤssend <persName ref="p6130" sent="to">Pontisellam</persName>, <persName ref="p20473" sent="to">Ganthnerum</persName> etc.</s>
7284.xml	p495	p252	1567	t10	<s n="15">Gruͤssend mir guͦt herren und fründ.</s>
7284.xml	p495	p252	1567	t10	<s n="16">Lieber, könend ir, so schribend dises och an houptman <persName ref="p1770" sent="to">Carli</persName> gen Chur und gruͤssend mir inn.</s>
7291.xml	p495	p477	1567	t2,t3	<s n="12">Das schrib ich dir zum bericht, das du unsern früntlichen herren schwager wüssist zuͦ berichten; den gruͤß mir ouch trüwlich.</s>
7294.xml	p495	p8016	1567	t10	<s n="7">Den herren houptman <persName ref="p1770" sent="to">Carli</persName> söllend ir mir früntlich gruͤssen und imm warlich anzeigen, das man (mitt gunst zuͦ mälden) groß lüg fürgipt; dann Zürych und Bernn habend by eer, lib und guͦt verbotten, in disen zug zuͦ ziehen.</s>
7294.xml	p495	p8016	1567	t10	<s n="15">Das zeigend minem herren houptman <persName ref="p1770" sent="to">Carlin</persName>, ouch minen herren burgermeistern und sy trüwlich gruͤssin.</s>
7301.xml	p495	p8016	1567	t10,t11	<s n="21">Gruͤssend mir mine herren burgermeister, <persName ref="p1770" sent="to">hoptman Carlin</persName> und <persName ref="p6130" sent="to">Pontasellam</persName>, herren <persName ref="p20473" sent="to">Ganthnern</persName> und andere unser liebe und guͦte fründ.</s>
7311.xml	p495	p8016	1567	t9,t10	<s n="16">Gruͤssend mir symystas, herren burgermeistern und herren houptman <persName ref="p1770" sent="to">Carli</persName>, <persName ref="p6130" sent="to">Pontisellam</persName> etc.</s>
7329.xml	p8016	p495	1567	t10,t11	<s n="6">Wiewol der conetabel, der herzog von <persName ref="p20293">Animour</persName>, mareschall von <persName>Ganar</persName> und der jung herr von <persName ref="p8621">Guisach</persName> darby gsin und ander herren, sind sy doch nitt grüst gsin alß gar kein kriegsvolk gehebt dann uns.</s>
7329.xml	p8016	p495	1567	t10,t11	<s n="20">Es sind darunder by 1500 Flemling und burgundische pferd und ettlich spanngische schützen zuͦ ross; ir oberster ist der graaff von Harrenberg, ein fyner herr, erzeigt sich früntlich, so es zuͦ einer schlacht köme; welle er dapffer zuͦ uns setzen; sind woll grüst mitt guͦten pferden.</s>
7353.xml	p495	p477	1568	t1,t9	<s n="8">Sy last dich und <persName ref="p5612" sent="to">Lisenbethli</persName> wie och ich und alles volck dich fast gruͤssen.</s>
736.xml	p8018	p495	1549	t2,t3	<s n="9">Gruͤßend mir üwer gantz hus; üch gruͤßt auch alle min husfraw.</s>
7370.xml	p495	p8016	1568	t10,t11	<s n="22">Gruͤssend mir h. burgermeister, houptman <persName ref="p20212" sent="to">Carlin</persName>, <persName ref="p6130" sent="to">Pontasellam</persName>, <persName ref="p20473" sent="to">Ganthnerum</persName> und alle unser fründ.</s>
7389.xml	p2923	p495	1568	t2,t10	<s n="7">Bin eben in der stundt bei ime gewessen, lest euch sein willigen dienst und freuntlichen grues empieten; darneben mich gebethen, weil ich mit euch verwandt, dass ir ime mit dem ersten diese buecher het geschickt, nach inhalt dieses inligenden zetelin.</s>
7396.xml	p495	p8016	1568	t10	<s n="16">Gruͤssend mir die herren 3 burgermeister, houptman <persName ref="p1770" sent="to">Carli</persName>, <persName ref="p6130" sent="to">Pontasella</persName>, <persName ref="p20473" sent="to">Ganthner</persName> etc. und alle guͦte fründ.</s>
7431.xml	p495	p8016	1568	t10,t11	<s n="13">Gruͤssend mir min herren burgermeister, <persName ref="p6130" sent="to">Pontisella</persName>, <persName ref="p20473" sent="to">Ganthner</persName> und andere fründ.</s>
7451.xml	p495	p8016	1568	t10,t11	<s n="17">Gruͤssend mir die herren burgermeister, <persName ref="p6130" sent="to">Pontisellam</persName>, <persName ref="p20473" sent="to">Ganthnerum</persName> und all unser guͦt herren und fründ.</s>
7505.xml	p495	p477	1568	t8,t10	<s n="7">Gruͤß mir <persName ref="p20082" sent="to">Susannam</persName>, <persName ref="p5612" sent="to">Elsbethili</persName>, din volck, gevatter, <persName sent="to">Agatham</persName>, juncker <persName sent="to">Hansen</persName> von Ulm, deß kranckheit mir gar leyd ist, und junckher <persName sent="to">Hansen Petter</persName> und ander unsere schwäger.</s>
752.xml	p3067	p495	1549	t10	<s n="5">Als ich sy grüesßet, zugend sy die rosß in eyn stall, der diener blyb dorby, wolt nit hinuff in die stuben, wie kalt es was.</s>
752.xml	p3067	p495	1549	t10	<s n="14">Als ich mit im zum huß ußgieng, zoch er zum dritten mal die französisch vereynung an mit grosßem verwunderen, das sich ouch die evangelischen stett darin gelassen hetten, so doch der Franzoß ein so grußam edict wider das h. evangelion und unßer religion hette lassen ußgon, darin er uns mit namen anzuge und verdame.</s>
752.xml	p3067	p495	1549	t10	<s n="25">Myn wyb laßt uch und uwere liebe hußfrowen sampt den kinden früntlich grüessen.</s>
7532.xml	p2923	p495	1568	t4,t10	<s n="10">Den brief an herrn <persName ref="p8130" sent="to">Laurentium</persName> hab ich geantwort, der lest euch gantz freuntlich gruessen, er wurdt euch mit dem ersten wieder antwort schreiben.</s>
7532.xml	p2923	p495	1568	t4,t10	<s n="26">Unnd thue mich hiemit gantz und gar in eur lieb befellen, mit bit wollet mir eure liebe toechtern sambt dem gantzen haussgesindt gantz vleisig gruessen, und thue euch in schutz und schirm dess hochsten befellen.</s>
754.xml	p8018	p495	1549	t2,t3	<s n="11">Darzuͦ söll ich üch fast gruͤßen, und er well deß handels, davon ir imm gschriben, ingedenck sin; was aber das sye, hatt er mir nitt geoffnet.</s>
7544.xml	p495	p8016	1568	t2,t10	<s n="20">Gruͤssend mir die 3 herren burgermeister, h. <persName ref="p1770" sent="to">Carolum</persName>, <persName ref="p6130" sent="to">Pontisellam</persName>, <persName ref="p20473" sent="to">Ganthnerum</persName>, omnes.</s>
755.xml	p182	p495	1549	t10,t11	<s n="15">Gruest mir jederman und last mich den euwern sein.</s>
7574.xml	p495	p477	1568	t1,t2	<s n="9">Wir gruͤssend dich alle, dich, <persName ref="p20082" sent="to">Susanen</persName>, <persName ref="p5612" sent="to">Elßily</persName> etc.</s>
7592.xml	p2923	p495	1568	t4,t10	<s n="7">Gehoert ain exemplar dem h. <persName>Mauritio Helling</persName>, der lest e. e., desgleichen h. <persName ref="p850">Durnhofer</persName> und herr doctor <persName sent="from">Christopf Hartusionsis</persName>, gantz freuntlich gruessen.</s>
7592.xml	p2923	p495	1568	t4,t10	<s n="28">Sonst nichts auf diss mal, allain mich eurer lieb und gunst bevelhende, auch mir eure tugentsame tochtere sambt dem gantzen hausgesindt und allen guten herrn und freunden gantz unterthenig freuntlich gruessen, und thue euch hiemit in schutz und schirm dess hochsten bevelhen.</s>
7603.xml	p495	p477	1568	t1,t10	<s n="8">Gruͤß uns <persName ref="p20082" sent="to">Susanen</persName>, gott gäbe iren gsundtheyt, und <persName ref="p5612" sent="to">Lisenbethli</persName>.</s>
7624.xml	p495	p8016	1568	t10	<s n="36">Gruͤssend mir die herren burgermeister, ouch andere unsere guͦte fründ.</s>
7661.xml	p495	p8016	1568	t10,t11	<s n="16">Gruͤssend mir die 3 herren burgermeister und guͦt herren und fründ, h. <persName ref="p20473" sent="to">Gantner</persName>, h. <persName ref="p6130" sent="to">Pontisella</persName> etc.</s>
7695.xml	p495	p252	1568	t10	<s n="15">Gruͤssend mir guͦt herren und fründ.</s>
7704.xml	p495	p477	1568	t1,t10	<s n="21">Gott mitt dir; gruͤß mir <persName ref="p20082" sent="to">Susanna</persName> und <persName ref="p5612" sent="to">Elsili</persName>, din huß.</s>
7704.xml	p495	p477	1568	t1,t10	<s n="22">All unser volck gruͤßt dich.</s>
7762.xml	p495	p252	1569	t10	<s n="6">Und alls ich inn fraget, ob ichs üch schicken gedörfte, antwort er: "Ja, gar wol; dann ich willens xin, den <persName ref="p252" sent="to">Beldinen</persName> (üwern lieben sünen) zuͦ schicken; so schicks du grad dem vatter und gruͤß mir sy früntlich mitt erbietung miner gar willigen diensten."</s>
7762.xml	p495	p252	1569	t10	<s n="12">Gruͤssend mir die üweren und all guͦt herren und fründ.</s>
7763.xml	p495	p8016	1569	t10,t11	<s n="16">Grüßsend mir h. houptman <persName ref="p1770" sent="to">Carlin</persName>, die herren burgermeister, <persName ref="p6130" sent="to">Pontisellam</persName>, <persName ref="p20473" sent="to">Ganthnerum</persName> und all guͦt herren und fründ.</s>
7766.xml	p495	p477	1569	t1,t9	<s n="10">Gruͤß mir inn trüwlich und kumm, sobald du kanst, amm sontag nach der predig.</s>
7851.xml	p495	p8016	1569	t10	<s n="11">Gruͤssend mir mir herren burgermeister, herren <persName ref="p1770" sent="to">Carolum</persName>, <persName ref="p6130" sent="to">Pontisell</persName>, <persName ref="p20473" sent="to">Ganthnern</persName> und alle unsere fründ.</s>
7851.xml	p495	p8016	1569	t10	<s n="12">Ich bitten, habend ir glägenheit, ir wöllind desse ettwas och in minem namen zuͦschriben junkher <persName ref="p8432" sent="to">Fridrychen von Salis</persName> und inn in minem namen früntlich gruͤssen sampt sinem sun junkher <persName ref="p8433" sent="to">Hansen</persName>.</s>
7861.xml	p495	p8016	1569	t10,t11	<s n="21">Gruͤssend mir mir herren burgermeister, herren <persName ref="p1770" sent="to">Carolum</persName>, <persName ref="p6130" sent="to">Pontisellam</persName>, <persName ref="p20473" sent="to">Ganthnerum</persName> und all unser fründt.</s>
791.xml	p8018	p495	1550	t2,t3	<s n="31">Üch gruͤßt min <persName ref="p5131" sent="from">husfraw</persName> mittsampt der <persName ref="p8051" sent="to">üweren</persName>, deßglich <persName ref="p8417" sent="from">Musculus</persName> und sin <persName ref="p20374" sent="from">husfraw</persName>; wünscht üch allen ein guͦt glückhafftig jar.</s>
7963.xml	p495	p477	1569	t1	<s n="8">Gruͤß mir die <persName ref="p20082" sent="to">Susanna</persName>, <persName ref="p5612" sent="to">Lisenbeth</persName> und din huß etc.</s>
7963.xml	p495	p477	1569	t1	<s n="9">All unser volck gruͤst dich.</s>
